,Link,Job Title,Company Name,Location,Salary,Date
95,https://pk.indeed.com/company/Cancer-Foundation-Hospital/jobs/Lab-Technologist-6f8e5d2e407a43de?fccid=27ec6a56c9d884d9&vjs=3,Lab Technologist,Cancer Foundation Hospital,Karachi,N/A,EmployerActive 1 day ago
96,https://pk.indeed.com/company/Alam-Reunion-Private-Limited/jobs/Account-Inventory-Officer-9d162d431252888f?fccid=f1205c608d4a9d10&vjs=3,Accounts & Inventory officer,Alam Reunion Private Limited,Karachi,"Rs 25,000 - Rs 35,000 a month",EmployerActive 1 day ago
97,https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/Billing-Excel-Specialist-d6c01431ca50916f?fccid=e2fe2b8d82d9ec39&vjs=3,Billing & Excel Specialist,Appedology PVT Ltd.,Karachi,"Rs 40,000 - Rs 45,000 a month",EmployerActive 1 day ago
98,https://pk.indeed.com/company/Fahad-Enterprises/jobs/Accountant-Urdu-Typist-2c4a6a500b211c0a?fccid=5f5bd4d39e2e95d7&vjs=3,Accountant and Urdu Typist,Fahad Enterprises,Karachi,"Rs 25,000 a month",EmployerActive 1 day ago
99,https://pk.indeed.com/company/Facon/jobs/Senior-Account-Executive-f3b68e9912226bfc?fccid=542008648618b7d4&vjs=3,SENIOR ACCOUNTS EXECUTIVE (MALE)new,FACON,Karachi,N/A,EmployerActive 2 days ago
100,https://pk.indeed.com/company/Liberty-Books-Pvt-Ltd/jobs/Customer-Service-Representative-01b6038ed381f158?fccid=a76bc10fb34ae421&vjs=3,CUSTOMER SERVICE REPRESENTATIVE (FEMALE)new,Liberty Books Pvt Ltd,Karachi,"Rs 30,000 - Rs 35,000 a month",PostedPosted 6 days ago
101,https://pk.indeed.com/company/MARS-Healthcare-Network/jobs/Workflow-Executive-32401f6cbbc85220?fccid=1ef8430dafd7acdf&vjs=3,Workflow Executive,MARS Healthcare Network,Karachi,"Rs 55,000 a month",PostedPosted 18 days ago
102,https://pk.indeed.com/company/JPSD/jobs/Assistant-Billing-Controller-Account-Trainee-7710ef19f5910766?fccid=be635ddbcd51ecb5&vjs=3,Assistant Billing Controller and Accounts Trainee,JPSD - Jamiyat Punjabi Saudagran-e-Dehli,Karachi,"Rs 20,000 - Rs 30,000 a month",EmployerActive 2 days ago
103,https://pk.indeed.com/company/Lucky-Fabirc/jobs/Social-Media-Assistant-d7e4a48cc14d70b6?fccid=f8e59bb00553ebf9&vjs=3,Social Media Assistant,Knitting Company,Karachi,"Rs 30,000 - Rs 40,000 a month",EmployerActive 1 day ago
104,https://pk.indeed.com/company/ART/jobs/Customer-Support-Executive-e3f982d9c294a3e8?fccid=f470b908090ea35e&vjs=3,Customer Support Executive,Help Pakistan (NGO),Karachi,"Rs 25,000 a month",PostedPosted 30+ days ago
